EAR,MAR,HeadAngle,Label
0.269,0.4735,86.2207,1
0.1895,0.4715,86.1914,1
0.0811,0.478,85.3483,1
0.105,0.4738,85.7358,1
0.1578,0.4769,85.7395,1
0.217,0.4791,85.7465,1
0.246,0.4754,85.4011,1
0.2548,0.4748,85.2545,1
0.2599,0.4749,85.3446,1
0.2679,0.4737,85.5794,1
0.2681,0.4745,85.5895,1
0.272,0.4742,85.8691,1
0.2725,0.4764,85.8255,1
0.2785,0.4762,85.9955,1
0.2758,0.478,85.9016,1
0.2803,0.4764,85.9575,1
0.275,0.4765,85.8971,1
0.2795,0.4772,86.0862,1
0.2777,0.4758,85.9717,1
0.2733,0.4793,85.9392,1
0.2603,0.4775,85.9562,1
0.2683,0.4759,85.9548,1
0.2749,0.4754,86.1566,1
0.2756,0.4764,85.9308,1
0.2739,0.4774,85.752,1
0.2786,0.4742,86.2123,1
0.2189,0.4777,85.7199,1
0.0824,0.4735,85.733,1
0.0692,0.4724,85.6955,1
0.0687,0.4734,85.238,1
0.157,0.479,85.0605,1
0.214,0.48,85.3553,1
0.2382,0.4789,85.3222,1
0.2637,0.4785,85.307,1
0.2774,0.4758,85.6099,1
0.2794,0.4758,85.7768,1
0.2796,0.4741,86.0161,1
0.2835,0.4751,85.8967,1
0.2868,0.4741,86.1417,1
0.2929,0.4757,85.7246,1
0.2853,0.4757,85.8986,1
0.286,0.4736,85.9257,1
0.2839,0.4772,85.6605,1
0.2768,0.478,85.8074,1
0.2875,0.4752,85.8596,1
0.2559,0.4735,85.8179,1
0.0707,0.473,85.1349,1
0.0651,0.477,85.118,1
0.1184,0.4725,85.4342,1
0.1342,0.4796,85.3061,1
0.2182,0.4772,85.0264,1
0.2451,0.4778,85.4638,1
0.2492,0.4778,85.7182,1
0.2772,0.4773,85.8095,1
0.2796,0.478,85.8639,1
0.2802,0.472,85.8014,1
0.2818,0.4725,85.8241,1
0.2819,0.4764,85.8452,1
0.2841,0.4756,85.8085,1
0.2855,0.4768,85.9253,1
0.2882,0.477,85.6862,1
0.2821,0.4748,85.7838,1
0.2751,0.4748,85.519,1
0.2724,0.4761,85.7882,1
0.2817,0.4774,85.9283,1
0.2816,0.4781,85.4519,1
0.2608,0.4758,85.1639,1
0.2655,0.4749,85.6017,1
0.2445,0.4767,85.4099,1
0.2254,0.478,85.0519,1
0.2025,0.4798,85.6907,1
0.1748,0.4749,84.909,1
0.1341,0.4744,84.8793,1
0.1316,0.476,84.6617,1
0.1547,0.4751,84.7,1
0.106,0.475,84.7203,1
0.1263,0.4755,84.7202,1
0.1149,0.4775,84.686,1
0.1155,0.4765,84.526,1
0.1091,0.477,84.8467,1
0.1029,0.4751,84.2137,1
0.0965,0.475,84.2714,1
0.0787,0.4777,84.7229,1
0.0659,0.4755,84.4733,1
0.0959,0.4776,84.411,1
0.0742,0.474,84.383,1
0.0741,0.4717,84.9923,1
0.0684,0.4787,84.8979,1
0.0792,0.474,84.6623,1
0.0817,0.473,84.7999,1
0.0668,0.4753,84.5607,1
0.0765,0.474,84.8112,1
0.0688,0.4771,84.5249,1
0.0657,0.4712,84.4794,1
0.0741,0.4679,84.7858,1
0.0809,0.4708,84.4752,1
0.0836,0.475,84.5002,1
0.0937,0.4699,84.4302,1
0.1095,0.4721,84.6973,1
0.0943,0.4714,84.5742,1
0.0739,0.4696,84.2357,1
0.074,0.4715,84.2939,1
0.0808,0.4697,84.2407,1
0.0886,0.4707,84.4713,1
0.0767,0.4688,84.211,1
0.0798,0.4714,84.4359,1
0.0721,0.4724,84.6352,1
0.0913,0.475,84.6815,1
0.0579,0.4697,84.4645,1
0.0742,0.4729,84.9369,1
0.064,0.4676,84.6921,1
0.0677,0.4756,84.7369,1
0.0937,0.4719,84.8312,1
0.1046,0.4692,84.4431,1
0.102,0.4697,84.6573,1
0.0706,0.4706,84.348,1
0.0997,0.4738,84.63,1
0.0792,0.4732,84.8551,1
0.0963,0.4744,84.6743,1
0.0817,0.4724,84.9,1
0.0858,0.4708,84.6611,1
0.0895,0.4682,84.9489,1
0.0676,0.4751,84.6562,1
0.0875,0.4723,84.5379,1
0.0969,0.475,84.8134,1
0.072,0.4765,84.4803,1
0.09,0.4722,84.4631,1
0.0927,0.4712,84.8491,1
0.0847,0.4729,84.8326,1
